course,professor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
AAST398B,Tuyet Duong,1,4,13,4,0,0,0,0,0,0,0,0,2,2,0
AAST398D,Gemirald Daus,10,55,42,25,56,21,10,8,0,0,4,0,9,18,7
AAST398E,Jia Li Liu,38,6,14,10,3,1,1,0,0,0,0,0,3,1,1
AAST398E,Thu Khuc,0,52,33,45,58,24,6,3,2,0,3,0,5,6,3
AAST398F,Janelle Wong,0,15,3,0,0,1,0,0,0,0,0,0,0,0,1
AAST398G,Douglas Ishii,6,4,3,4,0,1,1,1,1,1,0,0,0,2,0
AAST398G,Rossina Liu,1,10,0,0,0,0,0,0,0,0,0,0,2,1,4
AAST398I,Thu Khuc,1,6,2,10,2,0,0,1,0,0,1,0,0,1,0
AAST398L,Christian Oh,2,34,21,2,0,0,0,0,0,1,0,0,2,2,0
AAST398L,Douglas Ishii,2,9,0,3,2,1,0,0,0,0,0,0,1,0,0
AAST398L,Lawrence-Minh Davis,0,10,19,16,67,19,14,5,0,0,2,0,2,1,4
AAST398L,Terry Park,5,12,7,4,1,0,1,0,0,0,0,0,0,2,0
AAST398L,Thu Khuc,0,31,17,17,22,2,2,3,0,0,1,0,0,1,1
AAST398M,Terry Park,5,37,26,15,11,2,4,0,1,1,1,1,3,1,5
AAST398N,Douglas Ishii,7,10,4,0,1,0,0,0,0,0,0,0,0,0,1
AAST398N,Terry Park,2,15,5,2,0,0,0,1,0,0,0,0,1,2,0
AAST398O,Neha Singhal,0,4,11,6,1,0,0,0,1,0,0,0,2,1,1
AAST398Q,Yujie Chen,1,5,9,3,2,4,1,0,0,0,0,0,1,2,3
AAST398T,Lawrence-Minh Davis,0,4,5,0,13,1,2,1,0,0,1,1,0,1,0
AAST398V,Thu Khuc,0,3,3,4,2,1,2,2,0,0,0,0,2,1,0
AAST398W,Jeannette Soon-Ludes,3,5,5,4,2,2,1,0,2,0,0,0,1,1,1
AAST398Y,Monica Thammarath,2,6,4,1,3,3,0,1,0,0,0,1,0,3,2
AAST421,Philip Nash,2,42,6,2,2,0,0,0,0,0,0,0,0,2,0
AAST440,Binod Paudyal,13,7,0,0,1,0,0,0,0,0,0,0,0,0,0
AAST443,Janelle Wong,6,132,59,42,20,8,8,4,3,1,0,0,3,10,20
AAST498B,Julie Park,1,8,4,2,6,2,0,0,1,0,0,0,0,1,13
AAST498B,Lisa Mar,0,4,8,8,4,1,3,1,1,0,0,0,1,1,5
AAST498E,Gemirald Daus,4,4,3,2,6,2,3,1,0,0,0,0,3,2,1
AAST498E,Jeannette Soon-Ludes,3,12,21,6,2,5,1,0,1,0,0,0,1,3,1
AAST498F,Franklin Odo,0,2,3,4,0,2,0,0,0,0,0,0,0,0,0
AAST498F,Terry Park,2,1,4,2,0,0,1,0,0,0,0,0,0,0,0
AAST498G,Jennifer Cho,11,41,7,10,2,2,0,0,0,0,0,0,1,3,0
AAST498G,Shuji Otsuka,0,3,3,2,1,2,0,0,1,0,0,0,0,3,2
AAST498J,Jyoti Mohan,4,5,4,1,5,2,0,0,1,0,0,0,0,3,1
AAST498J,Kieu Anh Do,12,10,1,1,1,0,0,1,0,0,0,0,0,0,0
AAST498J,Xiaofang Wang Lanterman,7,6,2,2,3,0,0,1,0,0,0,0,1,1,0
AAST498K,Terry Park,2,3,4,2,1,0,0,0,0,0,0,0,0,3,4
