prereq,course
COMM351,COMM353
COMM201,COMM354H
COMM107,COMM363
COMM200,COMM363
COMM130,COMM363
COMM250,COMM363
COMM250,COMM370
COMM311,COMM398U
COMM398,COMM398U
COMM351,COMM483
COMM305,COMM483
COMM306,COMM483
COMM307,COMM483
COMM400,COMM483
COMM700,COMM701
CPBE100,CPBE101
CPBE100,CPBE230
CPBE100,CPBE240
CPBE100,CPBE250
CPCV100,CPCV101
CPET100,CPET101
CPET200,CPET230
CPET200,CPET250
CPGH100,CPGH101
CPGH200,CPGH230
CPGH200,CPGH240
CPGH200,CPGH250
CPGH200,CPGH270
CPMS100,CPMS101
CPMS101,CPMS230
CPMS101,CPMS240
CPPL100,CPPL101
CPSA100,CPSA101
CPSA200,CPSA201
CPSA200,CPSA240
CPSA200,CPSA250
CPSA200,CPSA260
CPSF100,CPSF101
CPSG100,CPSG101
CPSG200,CPSG230
CPSG200,CPSG240
CPSG200,CPSG250
CPSN100,CPSN101
CPSN101,CPSN230
CPSN101,CPSN240
CPSN101,CPSN250
CPSS100,CPSS101
CPSS100,CPSS225
DANC109,DANC207
DANC218,DANC219
DANC219,DANC318
DANC318,DANC319
DANC179,DANC371
DANC319,DANC448
DANC448,DANC449
DANC483,DANC485
MATH110,DATA100
MATH112,DATA100
MATH113,DATA100
MATH115,DATA100
STAT100,DATA100
DATA100,DATA110
STAT100,DATA110
MATH135,DATA110
STAT100,DATA120
MATH135,DATA120
STAT100,DATA200
MATH135,DATA200
DATA110,DATA250
